"Sample","Bay","Zone","Re_grid","Year","Season","nseines","ntrawls","Alo. alabamae","Alo. chrysochloris","Anc. cubana","Anc. hepsetus","Anc. lyolepis","Anc. mitchilli","Anchoa spp.","Bai. chrysoura","Brevoortia spp.","Car. crysos","Car. hippos","Car. latus","Chl. chrysurus","Clupeidae spp.","Cyp. variegatus","Dec. punctatus","Dia. auratus","Dor. cepedianum","Dor. petenense","Eucinostomus spp.","Fun. confluentus","Fun. grandis","Fun. seminolis","Fun. similis","Gam. holbrooki","Hae. aurolineatum","Har. jaguana","Hyp. harringtonensis","Hyp. meeki","Hyp. unifasciatus","Hyporhamphus spp.","Lag. rhomboides","Lei. xanthurus","Luc. goodei","Luc. parva","Mem. martinica","Menidia spp.","Mug. cephalus","Mug. curema","Mug. trichodon","Mugil spp.","Oli. saurus","Opi. oglinum","Ort. chrysoptera","Pep. burti","Pep. paru","Poe. latipinna","Sar. aurita","Sel. setapinnis","Ste. caprinus","bottomveg","temp","pH","sal","DO","vis"
"AP_A1_1998_3","AP","A",1,1998,3,3,1,0,0,0,0.0047314,0,1.106457362,0,0,0.00094628,0,0,0,0,0,0,0,0,0,0,0.00189256,0,0,0,0,0,0,0,0,0,0,0,0,0.025814837,0,0,0.00662396,0.00189256,0,0.01324792,0,0,0.00189256,0,0,0,0,0,0,0,0,0,28.025,7.8,26.35,5.85,0.45
"AP_A1_2001_4","AP","A",1,2001,4,3,3,0,0,0,0.010113836,0,1.066420689,0,0.013924847,0,0,0,0,0.00094628,0,0,0,0,0,0,0.0047314,0,0.00094628,0,0.00189256,0,0,0,0,0,0,0,0.006962423,0.057199613,0,0,0,0.036904919,0,0.00378512,0,0,0.00094628,0,0,0,0,0,0,0,0,0,22.9166666666667,8.11666666666667,24.9166666666667,7.41666666666667,0.625
"AP_A1_2002_1","AP","A",1,2002,1,6,1,0,0,0,0,0,0.009551226,0,0,0.01277478,0,0,0,0,0,0.00047314,0,0,0,0,0,0,0,0,0.00047314,0,0,0,0,0,0,0,0.0212913,0.128959355,0,0.00047314,0,0.00283884,0.148565957,0.01277478,0,0,0,0,0,0.007658666,0,0,0,0,0,0.714285714285714,19.7142857142857,8.1,21.7428571428571,8.35714285714286,0.275
"AP_A1_2002_2","AP","A",1,2002,2,3,2,0,0,0,0,0,1.285752583,0,0.01703304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058669359,0.044945999,0,0,0,0.00378512,0.0047314,0.01703304,0,0,0,0,0.00189256,0,0,0,0,0,0,0,24.66,7.94,32.14,5.96,0.42
"AP_A1_2002_3","AP","A",1,2002,3,4,2,0,0,0,0,0,0.044065261,0,0.048022064,0,0,0,0,0.00070971,0,0,0,0,0,0,0.024130139,0,0,0,0,0,0,0,0,0,0,0,0.01135536,0.003646984,0,0,0,0.00141942,0.00283884,0,0,0,0.00283884,0,0.00070971,0,0,0,0,0,0,0,29.4166666666667,7.93333333333333,30.0666666666667,6.15,1.05
"AP_A1_2002_4","AP","A",1,2002,4,2,1,0,0,0,0,0,0.32166396,0,0.007658666,0.026968979,0,0,0,0.022975997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425826,0.142972097,0,0,0,0,0.048260279,0,0,0,0,0,0,0,0.015317331,0,0,0,0,0,15.6,8.1,17.8333333333333,8.86666666666667,0.9
"AP_A1_2003_2","AP","A",1,2003,2,5,1,0,0,0,0.00567768,0,0.228674052,0,0,0.717658737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015897504,1.508338227,0,0,0,0.009084288,0,0.000567768,0,0,0,0,0.000567768,0.007658666,0,0,0,0,0,0,23.5833333333333,8.35,17.2333333333333,7.7,0.7
"AP_A1_2003_4","AP","A",1,2003,4,7,2,0,0,0,0,0,0.658886668,0,0,0,0,0,0,0.785013235,0,0,0,0,0,0,0.000405549,0,0.00283884,0,0,0,0,0,0,0,0,0,0.001622194,0.047979737,0,0,0,0.014599748,0.002433291,0,0,0,0,0,0,0.003829333,0,0,0,0,0,0,19.9,7.82222222222222,17.3222222222222,7.93333333333333,0.366666666666667
"AP_A1_2004_2","AP","A",1,2004,2,8,1,0,0,0,0.05361066,0.076586657,1.630203675,0,0,0.077358388,0,0,0,0,0,0,0,0,0,0.000354855,0,0,0.000354855,0,0,0.00212913,0,0.011562071,0,0,0,0,0.01277478,0.142000564,0,0.00141942,0.01561362,0.045066584,0.186298871,0.01845246,0,0,0,0.00425826,0,0,0,0.001064565,0,0,0,0,26.7,7.97777777777778,25.1777777777778,7.53333333333333,0.457142857142857
"AP_A1_2004_3","AP","A",1,2004,3,3,3,0,0,0,0.00189256,0,0.792183275,0,0.040717597,0,0,0.00189256,0,0.031978288,0,0,0,0,0,0,0.00189256,0,0,0,0,0,0,0,0,0,0,0,0.01324792,0.041266531,0,0,0.01324792,0.049206559,0.00567768,0,0,0,0.00283884,0,0.005374502,0.002552889,0,0,0,0.002552889,0,0,28.35,8.1,21.9666666666667,7.48333333333333,0.52
