Taxa,Basal
Alo. alabamae,Planktonic
Alo. chrysochloris,Planktonic
Anc. cubana,Planktonic
Anc. hepsetus,Planktonic
Anc. lyolepis,Planktonic
Anc. mitchilli,Planktonic
Anchoa spp.,Planktonic
Bai. chrysoura,Benthic
Brevoortia spp.,Planktonic
Car. crysos,Planktonic
Car. hippos,Benthic
Car. latus,Benthic
Chl. chrysurus,Planktonic
Clupeidae spp.,Planktonic
Cyp. variegatus,Detritivore
Dec. punctatus,Planktonic
Dia. auratus,Benthic
Dor. cepedianum,Planktonic
Dor. petenense,Planktonic
Eucinostomus spp.,Benthic
Fun. confluentus,Benthic
Fun. grandis,Benthic
Fun. seminolis,Benthic
Fun. similis,Benthic
Gam. holbrooki,Benthic
Hae. aurolineatum,Mixed
Har. jaguana,Planktonic
Hyp. harringtonensis,Planktonic
Hyp. meeki,Planktonic
Hyp. unifasciatus,Planktonic
Hyporhamphus spp.,Planktonic
Lag. rhomboides,Benthic
Lei. xanthurus,Mixed
Luc. goodei,Benthic
Luc. parva,Benthic
Mem. martinica,Planktonic
Menidia spp.,Planktonic
Mug. cephalus,Mixed
Mug. curema,Mixed
Mug. trichodon,Mixed
Mugil spp.,Mixed
Oli. saurus,Planktonic
Opi. oglinum,Planktonic
Ort. chrysoptera,Mixed
Pep. burti,Planktonic
Pep. paru,Planktonic
Poe. latipinna,Benthic
Sar. aurita,Planktonic
Sel. setapinnis,Planktonic
Ste. caprinus,Benthic
